run_id,stage,count
"full2025_b_parent_wave2","symbols_scanned","445734"
"full2025_b_parent_wave2","parent_flips_detected","4536"
"full2025_b_parent_wave2","valid_parent_wave1","4536"
"full2025_b_parent_wave2","parent_wave2_started","3967"
"full2025_b_parent_wave2","parent_wave2_invalidated","71"
"full2025_b_parent_wave2","child_countertrend_confirmed","7869"
"full2025_b_parent_wave2","child_trend_flips_detected","2839"
"full2025_b_parent_wave2","first_flip_signals","2839"
"full2025_b_parent_wave2","signals_consumed","0"
"full2025_b_parent_wave2","trades_taken","0"
"full2025_b_parent_wave2","expired_signals","0"
