run_id,stage,count
"q1_j_full_fractal_diag","symbols_scanned","107140"
"q1_j_full_fractal_diag","parent_flips_detected","1093"
"q1_j_full_fractal_diag","valid_parent_wave1","1093"
"q1_j_full_fractal_diag","parent_wave2_started","945"
"q1_j_full_fractal_diag","parent_wave2_invalidated","19"
"q1_j_full_fractal_diag","child_countertrend_confirmed","1934"
"q1_j_full_fractal_diag","child_trend_flips_detected","693"
"q1_j_full_fractal_diag","first_flip_signals","693"
"q1_j_full_fractal_diag","signals_consumed","693"
"q1_j_full_fractal_diag","trades_taken","35"
"q1_j_full_fractal_diag","expired_signals","0"
