run_id,period_id,variant,reason,count
q1_e_base_first_child_flip,q1_quick,e_base_first_child_flip,spread_guard,568
q1_e_base_first_child_flip,q1_quick,e_base_first_child_flip,invalid_stop_distance,90
q1_f_child_stop,q1_quick,f_child_stop,spread_guard,568
q1_f_child_stop,q1_quick,f_child_stop,invalid_stop_distance,90
q1_g_parent_stop,q1_quick,g_parent_stop,spread_guard,387
q1_g_parent_stop,q1_quick,g_parent_stop,invalid_stop_distance,285
q1_h_one_symbol,q1_quick,h_one_symbol,spread_guard,568
q1_h_one_symbol,q1_quick,h_one_symbol,invalid_stop_distance,90
q1_i_h1_diag,q1_quick,i_h1_diag,spread_guard,568
q1_i_h1_diag,q1_quick,i_h1_diag,invalid_stop_distance,90
q1_j_full_fractal_diag,q1_quick,j_full_fractal_diag,spread_guard,568
q1_j_full_fractal_diag,q1_quick,j_full_fractal_diag,invalid_stop_distance,90
full2025_e_base_first_child_flip,full2025_validation,e_base_first_child_flip,spread_guard,2344
full2025_e_base_first_child_flip,full2025_validation,e_base_first_child_flip,invalid_stop_distance,341
full2025_f_child_stop,full2025_validation,f_child_stop,spread_guard,2344
full2025_f_child_stop,full2025_validation,f_child_stop,invalid_stop_distance,341
full2025_g_parent_stop,full2025_validation,g_parent_stop,spread_guard,1608
full2025_g_parent_stop,full2025_validation,g_parent_stop,invalid_stop_distance,1130
full2025_g_parent_stop,full2025_validation,g_parent_stop,symbol_position_cap,1
full2025_h_one_symbol,full2025_validation,h_one_symbol,spread_guard,2344
full2025_h_one_symbol,full2025_validation,h_one_symbol,invalid_stop_distance,341
full2025_i_h1_diag,full2025_validation,i_h1_diag,spread_guard,2344
full2025_i_h1_diag,full2025_validation,i_h1_diag,invalid_stop_distance,341
full2025_j_full_fractal_diag,full2025_validation,j_full_fractal_diag,spread_guard,2344
full2025_j_full_fractal_diag,full2025_validation,j_full_fractal_diag,invalid_stop_distance,341
