run_id,period_id,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,run_mode,stop_mode,portfolio_mode,parent_tf,child_tf,top_context_tf,target_r,max_hold_bars
q1_a_parent_flip,q1_quick,2025.01.01,2025.03.31,a_parent_flip,parent_flip_only_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_a_parent_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_a_parent_flip.ini,fractal_wave2_transition_q1_a_parent_flip,0,0,0,15,5,16385,1.30,30
q1_b_parent_wave2,q1_quick,2025.01.01,2025.03.31,b_parent_wave2,parent_wave1_wave2_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_b_parent_wave2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_b_parent_wave2.ini,fractal_wave2_transition_q1_b_parent_wave2,1,0,0,15,5,16385,1.30,30
q1_c_child_countertrend,q1_quick,2025.01.01,2025.03.31,c_child_countertrend,child_countertrend_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_c_child_countertrend.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_c_child_countertrend.ini,fractal_wave2_transition_q1_c_child_countertrend,2,0,0,15,5,16385,1.30,30
q1_d_child_flip,q1_quick,2025.01.01,2025.03.31,d_child_flip,child_flip_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_d_child_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_d_child_flip.ini,fractal_wave2_transition_q1_d_child_flip,3,0,0,15,5,16385,1.30,30
q1_e_base_first_child_flip,q1_quick,2025.01.01,2025.03.31,e_base_first_child_flip,base_first_child_flip,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_e_base_first_child_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_e_base_first_child_flip.ini,fractal_wave2_transition_q1_e_base_first_child_flip,4,0,0,15,5,16385,1.30,30
q1_f_child_stop,q1_quick,2025.01.01,2025.03.31,f_child_stop,child_flip_stop_child_extreme,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_f_child_stop.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_f_child_stop.ini,fractal_wave2_transition_q1_f_child_stop,4,0,0,15,5,16385,1.30,30
q1_g_parent_stop,q1_quick,2025.01.01,2025.03.31,g_parent_stop,child_flip_stop_parent_extreme,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_g_parent_stop.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_g_parent_stop.ini,fractal_wave2_transition_q1_g_parent_stop,4,1,0,15,5,16385,1.30,30
q1_h_one_symbol,q1_quick,2025.01.01,2025.03.31,h_one_symbol,one_symbol_first_child_flip,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_h_one_symbol.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_h_one_symbol.ini,fractal_wave2_transition_q1_h_one_symbol,4,0,1,15,5,16385,1.30,30
q1_i_h1_diag,q1_quick,2025.01.01,2025.03.31,i_h1_diag,all_symbols_h1_alignment_diag,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_i_h1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_i_h1_diag.ini,fractal_wave2_transition_q1_i_h1_diag,4,0,0,15,5,16385,1.30,30
q1_j_full_fractal_diag,q1_quick,2025.01.01,2025.03.31,j_full_fractal_diag,all_symbols_full_fractal_diag,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_j_full_fractal_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_q1_j_full_fractal_diag.ini,fractal_wave2_transition_q1_j_full_fractal_diag,4,0,0,15,5,16385,1.30,30
full2025_a_parent_flip,full2025_validation,2025.01.01,2025.12.31,a_parent_flip,parent_flip_only_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_a_parent_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_a_parent_flip.ini,fractal_wave2_transition_full2025_a_parent_flip,0,0,0,15,5,16385,1.30,30
full2025_b_parent_wave2,full2025_validation,2025.01.01,2025.12.31,b_parent_wave2,parent_wave1_wave2_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_b_parent_wave2.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_b_parent_wave2.ini,fractal_wave2_transition_full2025_b_parent_wave2,1,0,0,15,5,16385,1.30,30
full2025_c_child_countertrend,full2025_validation,2025.01.01,2025.12.31,c_child_countertrend,child_countertrend_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_c_child_countertrend.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_c_child_countertrend.ini,fractal_wave2_transition_full2025_c_child_countertrend,2,0,0,15,5,16385,1.30,30
full2025_d_child_flip,full2025_validation,2025.01.01,2025.12.31,d_child_flip,child_flip_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_d_child_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_d_child_flip.ini,fractal_wave2_transition_full2025_d_child_flip,3,0,0,15,5,16385,1.30,30
full2025_e_base_first_child_flip,full2025_validation,2025.01.01,2025.12.31,e_base_first_child_flip,base_first_child_flip,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_e_base_first_child_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_e_base_first_child_flip.ini,fractal_wave2_transition_full2025_e_base_first_child_flip,4,0,0,15,5,16385,1.30,30
full2025_f_child_stop,full2025_validation,2025.01.01,2025.12.31,f_child_stop,child_flip_stop_child_extreme,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_f_child_stop.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_f_child_stop.ini,fractal_wave2_transition_full2025_f_child_stop,4,0,0,15,5,16385,1.30,30
full2025_g_parent_stop,full2025_validation,2025.01.01,2025.12.31,g_parent_stop,child_flip_stop_parent_extreme,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_g_parent_stop.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_g_parent_stop.ini,fractal_wave2_transition_full2025_g_parent_stop,4,1,0,15,5,16385,1.30,30
full2025_h_one_symbol,full2025_validation,2025.01.01,2025.12.31,h_one_symbol,one_symbol_first_child_flip,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_h_one_symbol.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_h_one_symbol.ini,fractal_wave2_transition_full2025_h_one_symbol,4,0,1,15,5,16385,1.30,30
full2025_i_h1_diag,full2025_validation,2025.01.01,2025.12.31,i_h1_diag,all_symbols_h1_alignment_diag,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_i_h1_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_i_h1_diag.ini,fractal_wave2_transition_full2025_i_h1_diag,4,0,0,15,5,16385,1.30,30
full2025_j_full_fractal_diag,full2025_validation,2025.01.01,2025.12.31,j_full_fractal_diag,all_symbols_full_fractal_diag,reports/presets/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_j_full_fractal_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FractalWave2TransitionTrader_fw2t_full2025_j_full_fractal_diag.ini,fractal_wave2_transition_full2025_j_full_fractal_diag,4,0,0,15,5,16385,1.30,30
