run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpM15WaveContextMode,InpUseM15SwingAnchorBias,InpM15SwingAnchorMode,InpUseTruePostAnchorBreakPullback,InpPostAnchorPullbackMode,InpPostAnchorRequireM5Reconfirm,InpUseM5PostAnchorRelaunch,InpM5PostAnchorRelaunchMode,InpM5MicroAnchorLookbackBars,InpM5MicroAnchorMinSwingStrength,InpM5RelaunchBreakUseClose,InpM5RelaunchBreakMinAtr,InpM5RelaunchMaxBarsAfterRetest,InpM5RelaunchFirstSignalMaxAgeBars,InpM5RequireNewMicroAnchorAfterM15Break,InpM5RelaunchRequireNormalBreakQuality,InpM15AnchorFlipRequireHighMediumM5Pattern,InpM15AnchorFlipRequireCorrectiveExhaustion,InpExitMode,InpMaxHoldBars,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution,daily_or_dd_stopped,passed_2025_gate
full2025_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_base.ini,fx_session_reversal_m5_micro_n_full2025_base,16385,15,5,0,false,0,false,0,true,false,0,48,2,true,0.05,12,1,true,false,false,false,1,30,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146,USDJPY:184|EURUSD:44|EURJPY:27|GBPUSD:25|GBPJPY:23|AUDJPY:15,SHORT:183|LONG:135,london_newyork_overlap:130|new_york:76|london:72|tokyo:40,False,False
full2025_light,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light.ini,fx_session_reversal_m5_micro_n_full2025_light,16385,15,5,3,false,0,false,0,true,false,0,48,2,true,0.05,12,1,true,false,false,false,1,30,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7,False,False
full2025_anchor_pullback,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,anchor_pullback,anchor_first_break_pullback_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_anchor_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_anchor_pullback.ini,fx_session_reversal_m5_micro_n_full2025_anchor_pullback,16385,15,5,1,true,4,true,3,false,false,0,48,2,true,0.05,12,1,true,false,false,false,1,30,73,21,0.2876712328767123,-55.75000000000001,481.07000000000005,-536.82,0.8961476845124996,-2.6655,-0.03651369863013699,0.8816842516434593,112.27000000000001,1.1227,-0.4965707669012203,1,0.0136986301369863,12,0.1643835616438356,60,0.821917808219178,0.577105479452055,0.4670780821917808,0.4657534246575342,0.2876712328767123,0.2054794520547945,0.1643835616438356,0.0,USDJPY:41|EURUSD:15|EURJPY:7|GBPJPY:5|GBPUSD:3|AUDJPY:2,SHORT:42|LONG:31,london_newyork_overlap:35|london:19|tokyo:15|new_york:4,False,False
full2025_micro_n_diag,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_diag,m5_micro_n_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_diag.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_diag,16385,15,5,1,true,1,true,1,false,true,1,48,2,true,0.05,12,1,true,false,false,false,1,30,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146,USDJPY:184|EURUSD:44|EURJPY:27|GBPUSD:25|GBPJPY:23|AUDJPY:15,SHORT:183|LONG:135,london_newyork_overlap:130|new_york:76|london:72|tokyo:40,False,False
full2025_micro_n_required,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_required,anchor_pullback_plus_m5_micro_n_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_required.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_required.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_required,16385,15,5,1,true,4,true,3,false,true,3,48,2,true,0.05,12,1,true,false,false,false,1,30,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
full2025_micro_n_first,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_first,anchor_pullback_plus_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_first.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_first,16385,15,5,1,true,4,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
full2025_micro_n_strong,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,micro_n_strong,anchor_pullback_plus_m5_micro_n_strong_break,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_strong.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_micro_n_strong.ini,fx_session_reversal_m5_micro_n_full2025_micro_n_strong,16385,15,5,1,true,4,true,3,false,true,4,48,2,true,0.05,12,1,true,true,false,false,1,30,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False
full2025_light_or_micro_n,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n,required_light_OR_m5_micro_n_relaunch,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n,16385,15,5,1,true,5,true,3,false,true,3,48,2,true,0.05,12,1,true,false,false,false,1,30,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7,False,False
full2025_light_or_micro_n_first,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n_first,required_light_OR_m5_micro_n_first_signal,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_first.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_first.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n_first,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,false,false,1,30,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7,False,False
full2025_light_or_micro_n_pattern,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light_or_micro_n_pattern,required_light_OR_m5_micro_n_plus_pattern,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_pattern.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_micro_n_full2025_light_or_micro_n_pattern.ini,fx_session_reversal_m5_micro_n_full2025_light_or_micro_n_pattern,16385,15,5,1,true,5,true,3,false,true,4,48,2,true,0.05,12,1,true,false,true,false,1,30,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0,USDJPY:31|EURUSD:9|EURJPY:6|GBPJPY:4,SHORT:36|LONG:14,london_newyork_overlap:19|london:13|new_york:11|tokyo:7,False,False
