run_id,period_id,variant,consumption_stage,not_traded_reason,validation_pass,validation_reject_reason,count
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,1963
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,5
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,3039
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,8
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,2923
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,92
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,2996
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
full2025_d_wave2_start_child_countertrend,full2025_validation,d_wave2_start_child_countertrend,none,none,false,not_evaluated,1
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,invalid_candidate,child_flip_signal_expired,false,child_flip_signal_expired,2996
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
full2025_e_latest_child_anchor_diagnostic,full2025_validation,e_latest_child_anchor_diagnostic,none,none,false,not_evaluated,1
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,before_portfolio,pending_portfolio,true,none,178
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,419
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,invalid_candidate,spread_guard,false,spread_guard,2592
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,8
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,position_cap,symbol_position_cap,true,none,1
full2025_f_base_first_child_flip_mode0,full2025_validation,f_base_first_child_flip_mode0,traded,traded,true,none,177
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,before_portfolio,pending_portfolio,true,none,166
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,411
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,invalid_candidate,spread_guard,false,spread_guard,2495
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,92
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,position_cap,symbol_position_cap,true,none,1
full2025_g_base_first_child_flip_mode1,full2025_validation,g_base_first_child_flip_mode1,traded,traded,true,none,165
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,before_portfolio,pending_portfolio,true,none,174
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,406
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,invalid_candidate,spread_guard,false,spread_guard,2562
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,none,none,false,not_evaluated,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,position_cap,symbol_position_cap,true,none,1
full2025_h_base_first_child_flip_mode2,full2025_validation,h_base_first_child_flip_mode2,traded,traded,true,none,173
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,before_portfolio,pending_portfolio,true,none,174
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,invalid_candidate,invalid_stop_distance,false,invalid_stop_distance,406
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,invalid_candidate,spread_guard,false,spread_guard,2562
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,invalid_candidate,stale_child_flip_not_reused,false,stale_child_flip_not_reused,1
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,none,none,false,not_evaluated,1
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,position_cap,symbol_position_cap,true,none,1
full2025_i_child_stop_extreme_mode2,full2025_validation,i_child_stop_extreme_mode2,traded,traded,true,none,173
full2025_j_parent_stop_extreme_mode2,full2025_validation,j_parent_stop_extreme_mode2,before_portfolio,pending_portfolio,true,none,31
full2025_j_parent_stop_extreme_mode2,full2025_validation,j_parent_stop_extreme_mode2,invalid_candidate,entry_or_stop_anchor_invalid,false,entry_or_stop_anchor_invalid,89
