run_id,period_id,variant,previous_state,strategy_state,reason,count
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,2101
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,1408
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,CHILD_TREND_FLIPPED,EXPIRED,child_flip_signal_expired,1963
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,5
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,CHILD_TREND_FLIPPED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,133
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,1965
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,71
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4536
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,first_opposite_close,4536
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3519
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE2_ACTIVE,INVALIDATED,wave1_origin_broken,40
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE2_ACTIVE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,408
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,24
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,545
full2025_a_diagnostic_current_code,full2025_validation,a_diagnostic_current_code,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,first_opposite_close,3967
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3197
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,CHILD_COUNTER_TREND_CONFIRMED,INVALIDATED,wave1_origin_broken,7
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,CHILD_COUNTER_TREND_CONFIRMED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,729
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,CHILD_TREND_FLIPPED,EXPIRED,child_flip_signal_expired,3039
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,CHILD_TREND_FLIPPED,EXPIRED,stale_child_flip_not_reused,8
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,CHILD_TREND_FLIPPED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,150
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,EXPIRED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,3042
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,IDLE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,6
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,INVALIDATED,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,77
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_FLIP_DETECTED,PARENT_WAVE1_CONFIRMED,parent_wave1_confirmed,4535
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE1_CONFIRMED,INVALIDATED,wave1_origin_broken,1
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_ACTIVE,first_opposite_close,23
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE1_CONFIRMED,PARENT_WAVE2_PENDING,first_opposite_close,4511
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE2_ACTIVE,CHILD_COUNTER_TREND_CONFIRMED,child_countertrend_confirmed_latest_anchor_active,3934
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE2_ACTIVE,INVALIDATED,wave1_origin_broken,40
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE2_ACTIVE,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,530
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE2_PENDING,INVALIDATED,wave1_origin_broken,29
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE2_PENDING,PARENT_FLIP_DETECTED,first_parent_anchor_close_break,1
full2025_b_wave2_start_first_close,full2025_validation,b_wave2_start_first_close,PARENT_WAVE2_PENDING,PARENT_WAVE2_ACTIVE,first_opposite_close,4481
full2025_c_wave2_start_confirmed_pivot,full2025_validation,c_wave2_start_confirmed_pivot,CHILD_COUNTER_TREND_CONFIRMED,CHILD_TREND_FLIPPED,first_close_break_of_active_child_anchor,3164
