run_id,stage,count
"combined_2024","symbols_scanned","447546"
"combined_2024","parent_anchor_states_available","4306"
"combined_2024","parent_flips_detected","4306"
"combined_2024","parent_wave1_confirmed","4306"
"combined_2024","parent_wave2_pending","4300"
"combined_2024","parent_wave2_started_first_close","0"
"combined_2024","parent_wave2_started_confirmed_pivot","0"
"combined_2024","parent_wave2_started_child_trend","3827"
"combined_2024","child_countertrend_confirmed","4269"
"combined_2024","child_anchor_created","3828"
"combined_2024","child_anchor_updated","4219"
"combined_2024","child_flip_detected","3036"
"combined_2024","fresh_first_flip_signal","3035"
"combined_2024","valid_candidate","148"
"combined_2024","signal_reserved","148"
"combined_2024","portfolio_selected","148"
"combined_2024","trades_taken","147"
"combined_2024","candidate_invalid","2887"
"combined_2024","position_cap_reject","1"
"combined_2024","risk_reject","0"
"combined_2024","order_failure","0"
"combined_2024","expired","1"
"combined_2024","parent_invalidated","492"
"combined_2024","signals_consumed","3036"
