control_id,symbol,anchor_msc,pseudo_direction,decision_seconds,target_msc,quote_msc,processing_msc,status,reason,entry_bid,entry_ask,usd_pair_count,usd_factor,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,h300_quote_msc,h300_continuation,h300_reversal,h300_continuation_125x,h300_reversal_125x,h600_quote_msc,h600_continuation,h600_reversal,h600_continuation_125x,h600_reversal_125x,h900_quote_msc,h900_continuation,h900_reversal,h900_continuation_125x,h900_reversal_125x,feature_spec_sha256,schema_version
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_1","GBPUSD","1741005000000","LONG","60","1741005060000","1741005060322","1741005065231","EXCLUDED","STALE_OR_INVALID_QUOTE","1.2642500000","1.2644500000","3","0.818515354950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741005300328","0.0000200000","-0.0004200000","-0.0000300000","-0.0004700000","1741005600123","0.0000000000","-0.0004000000","-0.0000500000","-0.0004500000","1741005900060","-0.0005800000","0.0001800000","-0.0006300000","0.0001300000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_GBPUSD_ctrl_1","GBPUSD","1741005000000","LONG","120","1741005120000","1741005120022","1741005120245","EXCLUDED","FEATURE_UNAVAILABLE","1.2646500000","1.2648500000","1","0.000000000000","2.616231159280","5.362766847330","0.505857234729","0.528512230567","1.000000000000","1.000000000000","","1.000000000000","","0.000316318060","0.000316318060","0.000743506220","0.000316318060","0.401709401709","1.000000000000","0.000277589816","0.000603222800","0.000923642106","0.000316318060","0.000180069614","0.000141990666","2.227738405747","","0.398437500000","0.000200000000","0.720487526006","","61.000000000000","223.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","1741005300328","-0.0003800000","-0.0000200000","-0.0004300000","-0.0000700000","1741005600123","-0.0004000000","0.0000000000","-0.0004500000","-0.0000500000","1741005900060","-0.0009800000","0.0005800000","-0.0010300000","0.0005300000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_ctrl_1","USDJPY","1741005000000","LONG","60","1741005060000","1741005060422","1741005065231","EXCLUDED","STALE_OR_INVALID_QUOTE","150.5830000000","150.6010000000","5","0.923872635932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741005300047","-0.0170000000","-0.0160000000","-0.0211250000","-0.0201250000","1741005600007","0.1250000000","-0.1580000000","0.1208750000","-0.1621250000","1741005900138","0.2450000000","-0.2830000000","0.2402500000","-0.2877500000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDJPY_ctrl_1","USDJPY","1741005000000","LONG","120","1741005120000","1741005120029","1741005120245","EXCLUDED","FEATURE_UNAVAILABLE","150.5820000000","150.5990000000","2","0.000000000000","2.997760958510","5.703287327275","0.971383038183","0.696764711691","1.000000000000","1.000000000000","-1.000000000000","1.000000000000","-1.000000000000","-0.000006640503","0.000654305737","0.000973310445","0.000654305737","0.577909270217","0.597583643123","0.032743665798","0.080614767684","0.147082277085","0.000006640503","0.000154241582","0.000132983538","0.049934775413","","0.281250000000","0.017000000000","0.519184385312","","92.000000000000","216.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","","1741005300047","-0.0150000000","-0.0170000000","-0.0190000000","-0.0210000000","1741005600007","0.1270000000","-0.1590000000","0.1230000000","-0.1630000000","1741005900138","0.2470000000","-0.2840000000","0.2423750000","-0.2886250000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDCHF_ctrl_1","USDCHF","1741005000000","LONG","60","1741005060000","1741005060459","1741005065231","EXCLUDED","STALE_OR_INVALID_QUOTE","0.9009200000","0.9011600000","6","0.954885231958","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741005300327","-0.0001300000","-0.0003400000","-0.0001887500","-0.0003987500","1741005600279","0.0000500000","-0.0005300000","-0.0000100000","-0.0005900000","1741005900220","0.0001300000","-0.0006200000","0.0000687500","-0.0006812500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_USDCHF_ctrl_1","USDCHF","1741005000000","LONG","120","1741005120000","1741005120461","1741005120486","EXCLUDED","FEATURE_UNAVAILABLE","0.9009200000","0.9011600000","5","-0.446728915091","1.892782489213","1.971997492963","0.605055114582","0.229050184854","1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","-1.000000000000","0.000000000000","0.000238641631","0.000710542707","0.000238641631","0.488549618321","0.281569965870","0.000127500530","0.000352984292","0.000511403045","0.000000000000","0.000055108047","0.000140969223","0.000000000000","","0.890625000000","0.000240000000","1.882345112011","","36.000000000000","25.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","-1.000000000000","1741005300327","-0.0001300000","-0.0003400000","-0.0001887500","-0.0003987500","1741005600279","0.0000500000","-0.0005300000","-0.0000100000","-0.0005900000","1741005900220","0.0001300000","-0.0006200000","0.0000687500","-0.0006812500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_AUDUSD_ctrl_1","AUDUSD","1741005000000","SHORT","60","1741005060000","1741005060384","1741005065231","EXCLUDED","STALE_OR_INVALID_QUOTE","0.6222300000","0.6224500000","4","0.871193995441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741005300195","-0.0001800000","-0.0002700000","-0.0002362500","-0.0003262500","1741005600179","-0.0002300000","-0.0002100000","-0.0002850000","-0.0002650000","1741005900280","0.0000600000","-0.0004900000","0.0000062500","-0.0005437500","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_AUDUSD_ctrl_1","AUDUSD","1741005000000","SHORT","120","1741005120000","1741005120524","1741005120702","EXCLUDED","FEATURE_UNAVAILABLE","0.6223200000","0.6225300000","6","-1.205727664445","0.250507610883","0.876542292901","-0.118186752692","0.034087402562","1.000000000000","1.000000000000","-1.000000000000","-1.000000000000","1.000000000000","0.000144606189","0.000200847577","-0.000248994985","-0.000200847577","0.202614379085","0.704545454545","0.000109639013","0.000259785722","0.000468633440","0.000144606189","0.000083103683","0.000098493887","1.468174262556","","0.156250000000","0.000210000000","1.915376595364","","57.000000000000","178.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","-1.000000000000","1741005300195","-0.0000900000","-0.0003500000","-0.0001450000","-0.0004050000","1741005600179","-0.0001400000","-0.0002900000","-0.0001937500","-0.0003437500","1741005900280","0.0001500000","-0.0005700000","0.0000975000","-0.0006225000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_EURUSD_ctrl_1","EURUSD","1741005000000","SHORT","60","1741005060000","1741005060322","1741005065231","EXCLUDED","STALE_OR_INVALID_QUOTE","1.0440100000","1.0441900000","2","0.000000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741005300018","-0.0002100000","-0.0001500000","-0.0002550000","-0.0001950000","1741005600005","-0.0003800000","0.0000200000","-0.0004250000","-0.0000250000","1741005900283","0.0003800000","-0.0007400000","0.0003350000","-0.0007850000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
"ts15h_detection_time_continuation_r1_202503_EURUSD_ctrl_1","EURUSD","1741005000000","SHORT","120","1741005120000","1741005120245","1741005120486","EXCLUDED","FEATURE_UNAVAILABLE","1.0442300000","1.0444100000","4","-1.205727664445","1.577728785718","4.432973018254","0.273508960440","0.459545333800","1.000000000000","1.000000000000","1.000000000000","-1.000000000000","-1.000000000000","0.000210685591","0.000057455305","0.000201108010","-0.000057455305","0.133757961784","0.981981981982","0.000235103962","0.000529549676","0.000803048570","0.000210685591","0.000160373320","0.000128613355","1.638131520073","","0.359375000000","0.000180000000","0.765618743454","","47.000000000000","241.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","0.000000000000","-1.000000000000","1741005300018","0.0000100000","-0.0003700000","-0.0000350000","-0.0004150000","1741005600005","-0.0001600000","-0.0002000000","-0.0002050000","-0.0002450000","1741005900283","0.0006000000","-0.0009600000","0.0005550000","-0.0010050000","074C40B21F804CEDB414FA0C75DD1A101B7DF808F6254000B641C134C282B597","tickshock-context-feature-v1"
