path,line,function,arguments
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,95,TSRRequiredSampleCapacity,const int detector
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,101,TSRSampleCapacity,const int detector
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,379,TSRLoadCoreConfig,TickShockConfig &config
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,410,TSRLong,const long value
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,411,TSRDouble,"const double value,const int digits=10"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,416,TSRBool,const bool value
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,417,TSRDirection,const int direction
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,419,TSRExecutionModeName,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,424,TSRRunMetadataFingerprint,
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,466,TSRStrategyName,const int strategy
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,474,TSRStopMultiple,const int index
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,479,TSRDetectorIndex,const int window_ms
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,485,TSRScenarioLocalIndex,"const int stop_index,const int delay_index,const int spread_index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,490,TSRScenarioIndex,"const int strategy,const int stop_index,const int delay_index,const int spread_index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,495,TSRExecutionGroupIndex,"const int strategy,const int delay_index,const int spread_index"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,500,TSRCsvAppend,"string &line,string value"
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,505,TSRDebug,"const string symbol,const string message"
