variant,train_tpd,train_pf,train_net,test_tpd,test_pf,test_net,all_tpd,all_pf,all_net,all_trades,score
rmax82_maxd3.0_h14_stop4.0,4.682101304501116,1.065614127255864,5084.614285714515,6.300904886386487,1.3864135470251362,15776.045714285767,4.918793272756654,1.1763078484429306,20860.660000000276,1374,1.5704387863533307
rmax85_maxd3.0_h14_stop4.0,4.721588905864379,1.0619722822525728,4832.787142857358,6.370400160868691,1.366130055243066,15297.494285714303,4.965332073736156,1.1680820261264853,20130.281428571656,1387,1.5661946879359858
rmax92_maxd3.0_h14_stop4.0,4.749794335409566,1.034198406952164,2713.838571428698,6.451477981097929,1.365383492740054,15423.905714285724,5.008290966948005,1.149197576094529,18137.74428571442,1399,1.5553442646805085
rmax88_maxd3.0_h14_stop4.0,4.7441532495005285,1.0434167239840302,3429.668571428696,6.405147798109793,1.3538446485653506,14961.74571428574,4.990391428109734,1.1516473033892787,18391.414285714432,1394,1.554315069015489
rmax82_maxd3.0_h12_stop4.0,4.890821483135503,1.0144273639960373,1201.5757142858893,6.381982706615725,1.2986454831333913,12953.458571428597,5.076309214533431,1.111757453403849,14155.034285714482,1418,1.5261242175811534
rmax92_maxd3.0_h14_stop3.5,4.907744740862616,1.0426910317294025,3479.7174999999334,6.648381258797507,1.2168051045392803,10815.495000000079,5.169386816492437,1.1087956058340138,14295.212500000007,1444,1.523235711819987
rmax88_maxd3.0_h14_stop3.5,4.907744740862616,1.0516448077060332,4191.1324999999415,6.602051075809371,1.207248062779741,10353.335000000096,5.15506718542182,1.1109339348977016,14544.467500000035,1440,1.5227522600881875
rmax82_maxd3.0_h14_stop3.5,4.862616053590316,1.0440507312001432,3604.702500000056,6.463060526844963,1.2327659524184764,11129.50500000011,5.0834690300687395,1.1136505400397612,14734.207500000162,1420,1.5205355097504785
rmax85_maxd3.0_h12_stop4.0,4.930309084498766,1.0143493169018198,1197.3985714287228,6.463060526844963,1.2656634713120976,11919.224285714276,5.126427923280588,1.102224239127362,13116.622857142997,1432,1.5197574695345233
rmax85_maxd3.0_h14_stop3.5,4.902103654953578,1.041368357535353,3405.0625000000473,6.567303438568269,1.212865517154328,10539.770000000088,5.140747554351204,1.1057832760624506,13944.832500000131,1436,1.517813168404282
rmax82_maxd3.0_h12_stop3.5,5.020566459043366,1.040541475359201,3396.2050000000636,6.520973255580133,1.1696240702553111,8481.480000000058,5.201605986401323,1.0887900155752948,11877.685000000123,1453,1.506588715550682
rmax92_maxd3.0_h12_stop4.0,4.952873428134915,0.9780129208730293,-1875.1542857141976,6.544138347074201,1.266197788961745,12053.045714285712,5.165806908724782,1.077953926884245,10177.891428571511,1443,1.5043997962815556
rmax85_maxd3.0_h12_stop3.5,5.05441297449759,1.042528205568828,3558.810000000045,6.636798713050473,1.1412267204525268,7372.327500000022,5.258884510683788,1.0804450740127136,10931.13750000007,1469,1.5028619732790065
rmax88_maxd3.0_h12_stop4.0,4.952873428134915,0.9849211813188976,-1282.404285714183,6.497808164086065,1.2550760744791012,11572.20571428572,5.151487277654166,1.0789008080494715,10289.801428571536,1439,1.5025985829497523
rmax92_maxd3.0_h12_stop3.5,5.07697731813374,1.0040023801752893,342.93499999996857,6.717876533279711,1.1456645185381635,7655.462500000035,5.298263496127982,1.0578595305447491,7998.397500000005,1480,1.4886894946278635
rmax88_maxd3.0_h12_stop3.5,5.07697731813374,1.0108890146019311,930.4699999999866,6.671546350291575,1.1362841949456617,7174.622500000044,5.283943865057366,1.058692189645009,8105.092500000028,1476,1.4871751232377597
rmax85_maxd2.5_h14_stop4.0,4.518509813139029,0.9994617717470566,-41.189999999827705,6.150331791675045,1.292994706601186,11880.292857142871,4.768437146515184,1.1011226415547903,11839.102857143047,1332,1.485896331098562
rmax92_maxd2.5_h14_stop4.0,4.535433070866142,0.9906939720754888,-717.5728571427389,6.242992157651317,1.2911893118248787,11994.424285714278,4.807816131959378,1.095324551655095,11276.851428571543,1343,1.4848205458035588
rmax82_maxd2.5_h14_stop4.0,4.479022211775766,1.0067899213379559,514.4814285716311,6.092419062939875,1.2855950098672067,11560.591428571464,4.7254782533033355,1.1038713200327666,12075.072857143092,1320,1.4829604715877496
rmax88_maxd2.5_h14_stop4.0,4.535433070866142,0.9906939720754888,-717.5728571427389,6.185079428916147,1.2860996334155654,11744.274285714302,4.789916593121108,1.0933216751731158,11026.701428571567,1338,1.4810112179968797
rmax82_maxd2.5_h12_stop4.0,4.636972617228817,1.004514454003663,349.63428571451004,6.161914337422079,1.2483174787369513,10366.794285714273,4.847195117403572,1.0899060231270692,10716.428571428789,1354,1.4802389098520148
rmax85_maxd2.5_h12_stop4.0,4.676460218592079,0.9968614138273355,-245.66714285695525,6.231409611904283,1.239193276034314,10130.812857142819,4.8937339183830755,1.0819478494629018,9885.14571428586,1367,1.4775582545420884
rmax92_maxd2.5_h12_stop4.0,4.693383476319191,0.9794578398793045,-1631.6342857141135,6.324069977880555,1.2374290214209795,10213.604285714246,4.933112903827269,1.0700877537351763,8581.970000000134,1378,1.471732539510372
rmax88_maxd2.5_h12_stop4.0,4.693383476319191,0.9794578398793045,-1631.6342857141135,6.266157249145385,1.232955787726123,9983.524285714262,4.9152133649889995,1.068298877600455,8351.890000000145,1373,1.468153500820213
rmax82_maxd2.5_h12_stop3.5,4.761076507227641,0.9964822940126306,-280.61999999990803,6.242992157651317,1.10041337295122,4811.667500000022,4.95101244266554,1.0354841444960154,4531.047500000119,1383,1.432222449907332
rmax92_maxd2.5_h14_stop3.5,4.670819132683041,0.9812460192493769,-1500.0650000000096,6.347235069374623,1.1144780937057999,5520.367500000055,4.925953088291962,1.0313575280708223,4020.302500000046,1376,1.4274188954556428
rmax85_maxd2.5_h12_stop3.5,4.800564108590904,0.9967497096667609,-260.3474999999562,6.324069977880555,1.0729478699419788,3599.279999999998,5.001131151412697,1.025795172647572,3338.93250000004,1397,1.4269502173868036
rmax88_maxd2.5_h14_stop3.5,4.670819132683041,0.9812460192493769,-1500.0650000000096,6.289322340639453,1.1096124087357084,5270.217500000077,4.908053549453691,1.029438914449193,3770.152500000071,1371,1.4236964977669828
rmax92_maxd2.5_h12_stop3.5,4.817487366318016,0.9809390135342584,-1547.3024999999634,6.416730343856827,1.0749103531084914,3741.3649999999934,5.0405101368568905,1.0167331157975847,2194.0625000000264,1408,1.4235874449130312
rmax88_maxd2.5_h12_stop3.5,4.817487366318016,0.9809390135342584,-1547.3024999999634,6.358817615121657,1.0705319001380695,3511.285000000009,5.022610598018621,1.0149968867247148,1963.9825000000428,1403,1.4200536858986852
rmax82_maxd2.5_h14_stop3.5,4.631331531319779,0.9634299341983055,-2970.0324999999048,6.173496883169113,1.1247322239543451,5827.112500000102,4.847195117403572,1.0223328314775157,2857.0800000001946,1354,1.4135183591096452
rmax85_maxd2.5_h14_stop3.5,4.670819132683041,0.9601529733174203,-3260.4199999999455,6.254574703398351,1.1122411499856095,5346.942500000076,4.89731382615073,1.016116945893703,2086.52250000013,1368,1.4122686802225304
