session,max_countertrend_bodies,min_transition_distance_pips,max_pullback_ratio,min_rejection_close_location,min_impulse_pips,max_stoch_d,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
ny,1,0.0,0.55,0.6,14.0,100.0,21,0.05659529869740979,-0.11857142857142854,0.47619047619047616,8,0.10662224073302791,0.17875,0.625,0.15435179783472003
ny,1,1.0,0.55,0.6,14.0,100.0,21,0.05659529869740979,-0.11857142857142854,0.47619047619047616,8,0.10662224073302791,0.17875,0.625,0.15435179783472003
ny,1,2.0,0.55,0.6,14.0,100.0,19,0.05120527025003743,-0.1242105263157894,0.47368421052631576,8,0.10662224073302791,0.17875,0.625,0.15202065931316536
ny,1,3.0,0.55,0.6,14.0,100.0,17,0.04581524180266507,-0.13294117647058817,0.47058823529411764,8,0.10662224073302791,0.17875,0.625,0.14904172483112124
london_open,3,3.0,0.45,0.6,14.0,100.0,28,0.08163100034417832,-0.2925,0.39285714285714285,11,0.204071115691832,0.2,0.6363636363636364,0.1311054208480565
london_open,4,3.0,0.45,0.6,14.0,100.0,28,0.08163100034417832,-0.2925,0.39285714285714285,11,0.204071115691832,0.2,0.6363636363636364,0.1311054208480565
london_open,3,0.0,0.45,0.6,14.0,100.0,33,0.09620699079838439,-0.3578787878787879,0.36363636363636365,11,0.204071115691832,0.2,0.6363636363636364,0.11948382240210113
london_open,4,0.0,0.45,0.6,14.0,100.0,33,0.09620699079838439,-0.3578787878787879,0.36363636363636365,11,0.204071115691832,0.2,0.6363636363636364,0.11948382240210113
london_open,3,2.0,0.45,0.6,14.0,100.0,30,0.087460900725804,-0.35033333333333333,0.36666666666666664,11,0.204071115691832,0.2,0.6363636363636364,0.11939521044819114
london_open,4,2.0,0.45,0.6,14.0,100.0,30,0.087460900725804,-0.35033333333333333,0.36666666666666664,11,0.204071115691832,0.2,0.6363636363636364,0.11939521044819114
london_open,3,1.0,0.45,0.6,14.0,100.0,31,0.0903762640833308,-0.3761290322580645,0.3548387096774194,11,0.204071115691832,0.2,0.6363636363636364,0.11422774548528787
london_open,4,1.0,0.45,0.6,14.0,100.0,31,0.0903762640833308,-0.3761290322580645,0.3548387096774194,11,0.204071115691832,0.2,0.6363636363636364,0.11422774548528787
london_open,3,2.0,0.45,0.6,12.0,100.0,35,0.09640674464646078,-0.1525714285714285,0.45714285714285713,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10745753940548267
london_open,4,2.0,0.45,0.6,12.0,100.0,35,0.09640674464646078,-0.1525714285714285,0.45714285714285713,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10745753940548267
ny,1,0.0,0.45,0.6,14.0,100.0,16,0.04312022757897889,-0.06937499999999994,0.5,7,0.09342416238009177,0.06142857142857142,0.5714285714285714,0.10453475980151009
ny,1,1.0,0.45,0.6,14.0,100.0,16,0.04312022757897889,-0.06937499999999994,0.5,7,0.09342416238009177,0.06142857142857142,0.5714285714285714,0.10453475980151009
london_open,3,0.0,0.45,0.6,12.0,100.0,38,0.1046701799018717,-0.17473684210526313,0.4473684210526316,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10418842194528663
london_open,4,0.0,0.45,0.6,12.0,100.0,38,0.1046701799018717,-0.17473684210526313,0.4473684210526316,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10418842194528663
ny,1,3.0,0.45,0.6,14.0,100.0,14,0.03773019913160653,-0.07071428571428565,0.5,7,0.09342416238009177,0.06142857142857142,0.5714285714285714,0.10318889696917846
london_open,3,3.0,0.45,0.6,12.0,100.0,31,0.0853896476529324,-0.1638709677419354,0.45161290322580644,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10271771447682307
london_open,4,3.0,0.45,0.6,12.0,100.0,31,0.0853896476529324,-0.1638709677419354,0.45161290322580644,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10271771447682307
london_open,3,1.0,0.45,0.6,12.0,100.0,36,0.09916122306493108,-0.1802777777777778,0.4444444444444444,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10183224461298622
london_open,4,1.0,0.45,0.6,12.0,100.0,36,0.09916122306493108,-0.1802777777777778,0.4444444444444444,12,0.22262303530018035,0.08333333333333336,0.5833333333333334,0.10183224461298622
all,4,2.0,0.7,0.6,14.0,100.0,399,1.008044212465459,-0.18478696741854633,0.44611528822055135,102,1.181609750211174,-0.2890196078431373,0.4117647058823529,0.09485717549305002
london_ny,1,0.0,0.45,0.6,14.0,100.0,28,0.07546039826321306,-0.06357142857142853,0.5,9,0.12011678020297513,0.025555555555555554,0.5555555555555556,0.09443334949391247
london_ny,1,1.0,0.45,0.6,14.0,100.0,28,0.07546039826321306,-0.06357142857142853,0.5,9,0.12011678020297513,0.025555555555555554,0.5555555555555556,0.09443334949391247
ny,1,0.0,0.55,0.7,14.0,100.0,19,0.05120527025003743,-0.1242105263157894,0.47368421052631576,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.09386887359887966
ny,1,1.0,0.55,0.7,14.0,100.0,19,0.05120527025003743,-0.1242105263157894,0.47368421052631576,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.09386887359887966
london_ny,1,3.0,0.45,0.6,14.0,100.0,26,0.0700703698158407,-0.06384615384615379,0.5,9,0.12011678020297513,0.025555555555555554,0.5555555555555556,0.09330039874949295
ny_open,1,2.0,0.7,0.7,14.0,100.0,17,0.04942459115687462,-0.2635294117647058,0.4117647058823529,5,0.0893189430591738,0.12000000000000002,0.6,0.09176727117255143
ny,1,2.0,0.55,0.7,14.0,100.0,17,0.04581524180266507,-0.13117647058823517,0.47058823529411764,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.09124288029330613
all,4,3.0,0.7,0.6,14.0,100.0,378,0.9549892539146454,-0.177010582010582,0.4497354497354497,97,1.1236877036321948,-0.2877319587628866,0.41237113402061853,0.08984023882634802
ny,1,3.0,0.55,0.7,14.0,100.0,15,0.040425213355292706,-0.14199999999999993,0.4666666666666667,7,0.09329446064139942,0.06142857142857139,0.5714285714285714,0.08780409029010615
ny,1,2.0,0.45,0.6,14.0,100.0,15,0.040425213355292706,-0.14266666666666658,0.4666666666666667,7,0.09342416238009177,0.06142857142857142,0.5714285714285714,0.08767075695677284
ny,2,2.0,0.35,0.6,14.0,100.0,20,0.07096217814463472,-0.17049999999999996,0.45,7,0.12727272727272726,0.06142857142857142,0.5714285714285714,0.08737814991464124
london_ny,1,0.0,0.45,0.6,14.0,65.0,8,0.025888222207240612,0.20625,0.625,4,0.1428217208033722,-0.09250000000000003,0.5,0.08605264444144811
london_ny,1,1.0,0.45,0.6,14.0,65.0,8,0.025888222207240612,0.20625,0.625,4,0.1428217208033722,-0.09250000000000003,0.5,0.08605264444144811
ny,1,0.0,0.7,0.6,14.0,65.0,8,0.023122315442977,0.20375000000000007,0.625,4,0.1428217208033722,-0.09250000000000003,0.5,0.0849994630885954
ny,1,1.0,0.7,0.6,14.0,65.0,8,0.023122315442977,0.20375000000000007,0.625,4,0.1428217208033722,-0.09250000000000003,0.5,0.0849994630885954
all,4,1.0,0.7,0.6,14.0,100.0,423,1.068678450809246,-0.1725768321513002,0.4515366430260047,107,1.2395317967901531,-0.29009345794392527,0.411214953271028,0.08490521481152744
london_ny,1,2.0,0.45,0.6,14.0,100.0,27,0.07276538403952688,-0.10407407407407403,0.48148148148148145,9,0.12011678020297513,0.025555555555555554,0.5555555555555556,0.08486789162272021
all,3,1.0,0.7,0.6,14.0,100.0,408,1.030782051844379,-0.17213235294117646,0.45098039215686275,104,1.2047785688427657,-0.3064423076923077,0.40384615384615385,0.08445171557380898
ny_open,1,3.0,0.7,0.7,14.0,100.0,15,0.043609933373712904,-0.292,0.4,5,0.0893189430591738,0.12000000000000002,0.6,0.0843219866747426
