decision_seconds,horizon_seconds,action,rows,tp,sl,timeout,tp_rate,median_touch_seconds,spread_only_expectancy,stress_expectancy
60,300,CONTINUATION,1675,57,242,1376,0.0340298507462686,300.339,-0.2590110857432836,-0.3455309199402985
60,300,REVERSAL,1675,44,224,1407,0.0262686567164179,300.351,-0.2469769596716418,-0.3332839514925373
60,600,CONTINUATION,1675,131,416,1128,0.0782089552238805,600.183,-0.2570201341850746,-0.3438379946447761
60,600,REVERSAL,1675,121,402,1152,0.0722388059701492,600.206,-0.2518050911283582,-0.338191153080597
60,900,CONTINUATION,1675,187,523,965,0.1116417910447761,900.108,-0.2580751639044776,-0.3449602039283582
60,900,REVERSAL,1675,171,511,993,0.1020895522388059,900.133,-0.2409912950388059,-0.3274756639104477
120,300,CONTINUATION,1655,32,169,1454,0.0193353474320241,300.351,-0.2481404627069486,-0.3346730198126888
120,300,REVERSAL,1655,27,176,1452,0.0163141993957703,300.343,-0.2609871083141994,-0.3476618283323263
120,600,CONTINUATION,1655,113,367,1175,0.0682779456193353,600.204,-0.2472159305619335,-0.3340779372870091
120,600,REVERSAL,1655,100,404,1151,0.0604229607250755,600.199,-0.2810994209667674,-0.3678914907190332
120,900,CONTINUATION,1655,176,477,1002,0.1063444108761329,900.145,-0.246630733613293,-0.3335178374984894
120,900,REVERSAL,1655,152,512,991,0.0918429003021148,900.145,-0.277148396858006,-0.3641897220302115
